"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000002","2019-08","865955735","23369270611.34","250651387.11000001"
"000002","2019-07","953324336","28195769476.380001","279408290.44"
"000002","2019-06","629558187","17460711791.75","270178878.89999998"
"000002","2019-05","651739771","17887784721.599998","259395040.15000001"
"000002","2019-04","1287407042","39951842127.040001","280574110.83999997"
"000002","2019-03","1590085931","45606076897.370003","298450023.72000003"
"000002","2019-02","1036834690","28475304565.09","271927609.5"
"000002","2019-01","687474793","17620537159.450001","269595968.69"
"000002","2018-12","805606915","20317352591.57","231415350.41999999"
"000002","2018-11","949728103","23503332020.720001","247153925.88999999"
"000002","2018-10","1131501336","25283770460.119999","235398570.13999999"
"000002","2018-09","1058988567","25404043444.720001","236078632.03999999"
"000002","2018-08","1149447643","26190172927.360001","233649839.53"
"000002","2018-07","956764162","22471380434.830002","226557765.40000001"
"000002","2018-06","1100600610","29555046508.48","238993183.06"
"000002","2018-05","941762377","25386256395.119999","248611201.40000001"
"000002","2018-04","756570267","23528512694.18","275910829.22000003"
"000002","2018-03","905611988","29271329911.450001","323418010.73000002"
"000002","2018-02","810923791","27750005312.619999","317489698.93000001"
"000002","2018-01","1412056208","52553325806.480003","364676241.33999997"
"000002","2017-12","911375324","27444748036.700001","301566668.16000003"
"000002","2017-11","1249095746","37370308918.470001","303120134.57999998"
"000002","2017-10","652869836","17731045808.93","281177421.44"
"000002","2017-09","1396414980","37544951185.220001","254865584.00999999"
"000002","2017-08","784722195","18033657764.209999","225543905.38999999"
"000002","2017-07","1168147364","28728146158.599998","226900913.53"
"000002","2017-06","1111376160","26133603515.43","242435421.94"
"000002","2017-05","495826702","9744083698.7600002","206414780.56"
"000002","2017-04","589813560","12095067168.700001","189326821.30000001"
"000002","2017-03","904543938","19082327817.279999","199812614.47999999"
"000002","2017-02","480183463","9957444247.6700001","199327161.09"
"000002","2017-01","488024229","10243954545.690001","200783521.25999999"
"000002","2016-12","1100528851","25291365369.810001","199501614.44999999"
