Year,Country,Air Pollution Index,CancerDeath,Inflation,Count,AvgTemperature,GDP
1995,Albania,0.021589176,2663.751865491999,13.05,3187784,-99.0,2392764853.0
1996,Albania,0.020629553,2716.345560085,13.133333333333336,3168033,-99.0,3199641336.0
1997,Albania,0.018144329,2804.508607056,31.50333333333333,3148281,-88.22876712328767,2258513974.0
1998,Albania,0.02001064,2918.250998805,23.21666666666667,3128530,-46.1958904109589,2545964541.0
1999,Albania,0.026471066,3039.803316859,1.666666666666667,3108778,26.696164383561644,3212121651.0
2000,Albania,0.026689412,3161.349738615001,4.443333333333333,3089027,54.75792349726776,3480355258.0
2001,Albania,0.026942084,3262.6402524580003,4.533333333333333,3060173,10.75041095890411,3922100794.0
2002,Albania,0.028594433,3387.690502372001,7.793333333333333,3051010,41.51287671232877,4348068242.0
2003,Albania,0.028362235,3508.131731452,3.7266666666666666,3039616,61.87232876712329,5611496257.0
2004,Albania,0.028464705,3604.310320003,9.976666666666665,3026939,61.08524590163935,7184685782.0
2005,Albania,0.027077712,3679.129519913,8.953333333333333,3011487,59.93561643835616,8052073539.0
2006,Albania,0.026433603,3730.012025868,2.47,2992547,58.56904109589041,8896072919.0
2007,Albania,0.024277025,3759.687022963,4.1175,2970017,60.89013698630137,10677324144.0
2008,Albania,0.023723028,3831.968610597999,4.76,2947314,59.79071038251367,12881353508.0
2009,Albania,0.023070124,3912.428101598001,1.77,2927519,59.40109589041096,12044208086.0
2010,Albania,0.022735419,3960.964130533,2.818,2913021,60.568767123287664,11926922829.0
2011,Albania,0.023267139,3986.168360283,3.3600000000000003,2905195,59.9186301369863,12890764531.0
2012,Albania,0.021935258,4031.966031927,1.745,2900401,59.8844262295082,12319830437.0
2013,Albania,0.021866509,4098.4546410600005,1.65,2895092,60.4131506849315,12776220507.0
2014,Albania,0.022608377,4177.525036979001,1.3125,2889104,60.215616438356165,13228147516.0
2015,Albania,0.02272079,4264.167153123,1.3875,2880703,60.09016393442623,11386850130.0
2016,Albania,0.021675022,4338.101292395,0.624,2876101,58.98688524590164,11861199831.0
1995,Algeria,0.283944317,10177.01842536,41.16666666666666,28757785,63.515068493150686,41764315330.0
1996,Algeria,0.283367231,10160.16359451,25.433333333333334,29266405,62.64207650273224,46941582519.0
1997,Algeria,0.280773938,10247.960267930002,12.533333333333331,29742979,64.92630136986301,48177612042.0
1998,Algeria,0.286560786,10327.387384909996,8.1075,30192754,61.83753424657535,48187747529.0
1999,Algeria,0.292469547,10566.95581443,1.8425,30623406,64.4745205479452,48640653469.0
2000,Algeria,0.29915292,10849.11079501,1.78,31042235,64.1827868852459,54790392746.0
2001,Algeria,0.297358041,10993.10084327,4.12,31451514,64.66986301369863,54744712815.0
2002,Algeria,0.315040429,11327.62544026,1.56,31855109,62.34767123287671,56760355865.0
2003,Algeria,0.323536708,11761.267584089996,4.1275,32264157,65.04273972602739,67863828413.0
2004,Algeria,0.332945772,12298.7285289,4.695,32692163,64.08743169398907,85332581189.0
2005,Algeria,0.339015613,12936.04329124,1.68,33149724,62.91342465753425,103198000000.0
2006,Algeria,0.342498579,13267.179915049996,3.25,33641002,64.9304109589041,117027000000.0
2007,Algeria,0.351329157,13619.632551959998,3.8575,34166972,63.1668493150685,134977000000.0
2008,Algeria,0.345339266,14044.477086119998,5.575,34730608,63.53224043715847,171001000000.0
2009,Algeria,0.350318497,14525.749781879997,5.91,35333881,64.25972602739726,137211000000.0
2010,Algeria,0.349435564,15007.31070483,3.35,35977455,64.26821917808219,161207000000.0
2011,Algeria,0.357698305,15486.279875760005,3.85,36661444,64.96082191780822,200013000000.0
2012,Algeria,0.367328599,16036.62502452,7.3675,37383887,64.29043715846994,209059000000.0
2013,Algeria,0.367669328,16631.31366748,2.4975,38140132,63.70465753424658,209755000000.0
2014,Algeria,0.381417146,17239.14615268,3.0725,38923687,65.19589041095891,213810000000.0
2015,Algeria,0.393797892,17941.46897289,2.9975,39728025,64.04781420765028,165979000000.0
2016,Algeria,0.386378149,18611.0214472,4.63,40551404,63.51612021857924,160034000000.0
1995,Argentina,0.487613065,55183.79650820001,3.9725,34828170,61.701369863013696,258032000000.0
1996,Argentina,0.501413735,56180.28893930001,2.3775,35246374,62.71010928961749,272150000000.0
1997,Argentina,0.504333667,56854.08352788,-0.0474999999999999,35657429,63.14383561643836,292859000000.0
1998,Argentina,0.508207668,57667.57810954,-0.7675000000000001,36063459,59.55890410958904,298948000000.0
1999,Argentina,0.501632323,58400.97402965999,-0.8250000000000001,36467218,61.39506849315069,283523000000.0
2000,Argentina,0.491650458,59196.83820843999,-0.2375,36870787,61.9551912568306,284204000000.0
2001,Argentina,0.464734436,59885.57071643,-1.7525,37275652,62.89506849315069,268697000000.0
2002,Argentina,0.452944193,60884.443678070005,26.6575,37681749,60.78739726027398,97724004252.0
2003,Argentina,0.468832028,62008.11853755,19.2875,38087868,61.04246575342466,127587000000.0
2004,Argentina,0.525234807,62649.883634460006,8.032499999999999,38491972,62.625956284153,164658000000.0
2005,Argentina,0.530284124,63251.414152,6.835,38892931,62.31150684931507,198737000000.0
2006,Argentina,0.532369687,63862.41142194999,7.6325,39289878,62.68794520547945,232557000000.0
2007,Argentina,0.513880124,64922.05299148999,10.910000000000002,39684295,60.88219178082192,287531000000.0
2008,Argentina,0.581128148,65259.00314985,11.423333333333332,40080160,62.46857923497268,361558000000.0
2009,Argentina,0.556382315,65834.82497660001,6.45,40482788,62.5709589041096,332976000000.0
2010,Argentina,0.570502253,66323.83712288,9.443333333333332,40788453,63.00630136986301,423627000000.0
2011,Argentina,0.598274737,66784.71450990999,12.64,41261490,63.23534246575343,530163000000.0
2012,Argentina,0.59589016,67581.38640496,10.31,41733271,63.72513661202186,545982000000.0
2013,Argentina,0.575900364,68287.24861537,13.47,42202935,62.880547945205485,552025000000.0
2014,Argentina,0.592545836,68814.74980843,32.045,42669500,63.61369863013699,526320000000.0
2015,Argentina,0.594661443,69848.02567901001,26.54,43131966,62.935792349726775,594749000000.0
2016,Argentina,0.584954748,71012.99058730001,44.415,43590368,60.87267759562842,557531000000.0
1995,Australia,0.937883517,31798.17038701,5.4,18072000,61.50175342465753,367916000000.0
1996,Australia,0.927035194,32300.0152835,1.874,18311000,61.08065573770492,401090000000.0
1997,Australia,0.886479437,32584.07396643,-0.8539999999999999,18517000,62.15178082191781,435324000000.0
1998,Australia,0.886645938,32814.55719493001,-5.176,18711000,47.184876712328766,399404000000.0
1999,Australia,0.897683043,33088.8292091,1.6800000000000002,18926000,62.029972602739726,389099000000.0
2000,Australia,0.906169201,33474.27537088,5.037999999999999,19153000,62.25021857923497,415576000000.0
2001,Australia,0.867970348,34028.58894696,1.8220000000000005,19413000,61.78734246575342,379084000000.0
2002,Australia,0.861141141,34608.48363413,2.958,19651400,60.47539726027398,395343000000.0
2003,Australia,0.837192122,34902.78474819,7.116000000000001,19895400,61.32153424657535,467391000000.0
2004,Australia,0.830173894,35404.64954754001,3.706,20127400,62.51846994535519,614166000000.0
2005,Australia,0.820673678,35992.005180249995,3.464,20394800,62.71293150684932,695075000000.0
2006,Australia,0.809160763,36661.61616558,1.704,20697900,62.67490410958904,747556000000.0
2007,Australia,0.803277394,37539.69797619,8.468,20827600,62.81994520547945,853955000000.0
2008,Australia,0.807242553,38611.008029150005,5.434,21249200,60.99207650273224,1055130000000.0
2009,Australia,0.782888744,39335.29902099999,1.5099999999999998,21691700,62.9586301369863,928043000000.0
2010,Australia,0.759582269,40347.37649399001,15.042000000000002,22031750,62.71435616438356,1147590000000.0
2011,Australia,0.756038508,41216.05621071,4.784000000000001,22340024,62.53884931506849,1397910000000.0
2012,Australia,0.750899761,41959.75266860999,1.98,22733465,62.25568306010928,1546510000000.0
2013,Australia,0.753563197,42585.74278617001,1.7100000000000002,23128129,63.11572602739726,1576340000000.0
2014,Australia,0.753447328,43546.9233702,1.434,23475686,63.038794520547945,1467500000000.0
2015,Australia,0.728903626,44715.1794139,0.4719999999999998,23815995,62.17803278688525,1350530000000.0
2016,Australia,0.700671983,45980.77561181,5.946,24190907,61.8107650273224,1206690000000.0
1995,Austria,0.126084801,18247.82211169,0.8220000000000001,7948278,50.25123287671233,241038000000.0
1996,Austria,0.132798965,18229.151330220004,1.7920000000000005,7959017,47.67677595628415,237251000000.0
1997,Austria,0.125689637,18167.62384562,1.5020000000000002,7968041,49.6827397260274,212790000000.0
1998,Austria,0.127673214,18054.93141519,1.034,7976789,49.69041095890411,218260000000.0
1999,Austria,0.121566997,17968.38910995,0.2279999999999999,7992324,50.54438356164384,217186000000.0
2000,Austria,0.118142659,17891.34579631,2.158,8011566,52.759562841530055,196800000000.0
2001,Austria,0.122009727,17866.92484187,2.454,8042293,50.82301369863014,197338000000.0
2002,Austria,0.121457567,17948.97508663,1.004,8081957,50.215616438356165,213378000000.0
2003,Austria,0.124761283,17997.05784937,1.168,8121423,51.49506849315069,261696000000.0
2004,Austria,0.123215986,17990.09468167,2.21,8171966,50.60300546448087,300904000000.0
2005,Austria,0.121791795,18078.22880404,2.752,8227829,50.30219178082192,315974000000.0
2006,Austria,0.11820023,18150.055692060003,2.042,8268641,51.23534246575343,335999000000.0
2007,Austria,0.113351229,18226.22013838,3.08,8295487,52.592602739726026,388691000000.0
2008,Austria,0.107120797,18388.86543275,3.53,8321496,52.17704918032787,430294000000.0
2009,Austria,0.100889302,18635.5196405,0.548,8343323,51.360821917808224,400172000000.0
2010,Austria,0.102589928,18734.42304011,1.804,8363404,49.25068493150685,391893000000.0
2011,Austria,0.097390378,19031.51051582001,3.45,8391643,51.27945205479452,431120000000.0
2012,Austria,0.095177688,19317.40377561,2.3760000000000003,8429991,51.91147540983607,409425000000.0
2013,Austria,0.097471523,19432.809282330003,1.81,8479823,51.42630136986301,430069000000.0
2014,Austria,0.091168398,19519.658363740004,1.204,8546356,52.93561643835616,441996000000.0
2015,Austria,0.090091757,19769.508818429997,0.658,8642699,52.63961748633879,381818000000.0
2016,Austria,0.087925916,20073.31645733,0.418,8736668,50.86967213114754,395569000000.0
1995,Bahrain,0.023810809,268.309493399,3.1133333333333333,563697,79.2827397260274,5849467819.0
1996,Bahrain,0.023733953,274.10110440900013,0.1033333333333333,578666,80.18005464480875,6101861436.0
1997,Bahrain,0.023881775,282.257154749,4.6,594931,78.7972602739726,6349202394.0
1998,Bahrain,0.024495146,288.4423807269999,0.2266666666666667,613700,80.21506849315068,6183776596.0
1999,Bahrain,0.024246204,289.837871601,-0.7533333333333333,636541,81.79917808219179,6621010372.0
2000,Bahrain,0.024513721,294.615058519,-0.6766666666666667,664611,80.60601092896175,9062898936.0
2001,Bahrain,0.024437674,305.288809005,-9.99,697545,81.32301369863013,8976196809.0
2002,Bahrain,0.025393866,313.2884038760001,-0.5,735146,78.89479452054795,9593510638.0
2003,Bahrain,0.026228926,320.615703558,-0.04,778708,80.9764383561644,11074813830.0
2004,Bahrain,0.026632064,330.397449002,1.5166666666666668,829844,80.77841530054646,13150159574.0
2005,Bahrain,0.031522028,342.260970445,1.84,889164,80.20931506849315,15968723404.0
2006,Bahrain,0.034118643,356.66470495699986,1.38,958418,81.0054794520548,18504760638.0
2007,Bahrain,0.033044763,372.376680274,3.33,1035919,80.48849315068493,21730000000.0
2008,Bahrain,0.032516644,394.256503831,5.553333333333334,1114641,79.51229508196721,25710904255.0
2009,Bahrain,0.029915048,416.6837297720001,4.68,1185076,80.91013698630137,22938218085.0
2010,Bahrain,0.028792826,438.552986021,1.866666666666667,1240860,82.9268493150685,25713271277.0
2011,Bahrain,0.027890455,456.855743483,-3.59,1278151,80.92,28776595745.0
2012,Bahrain,0.027880255,472.0669902050001,1.1566666666666667,1299943,81.68415300546448,30749308511.0
2013,Bahrain,0.028723523,484.31361866300006,4.8133333333333335,1315029,81.20438356164384,32539468085.0
2014,Bahrain,0.02922207,502.176768465,3.47,1336075,81.57780821917808,33387712766.0
2015,Bahrain,0.029778923,517.449776136,2.956666666666667,1371851,81.62295081967213,31050638298.0
2016,Bahrain,0.0300451,544.3470513309999,2.373333333333333,1425791,80.1483606557377,32234973404.0
1995,Bangladesh,0.406863952,58591.47891541,5.173333333333333,115169930,42.214246575342464,37939748769.0
1996,Bangladesh,0.405180651,58846.51708483,3.216666666666667,117649932,38.93852459016394,46438484108.0
1997,Bangladesh,0.417352833,59066.813635000006,4.42,120160564,-18.885753424657533,48244309133.0
1998,Bangladesh,0.421598812,59663.19270515,9.575,122682815,-15.962191780821918,49984559471.0
1999,Bangladesh,0.431610031,60031.67652737999,7.14,125189651,-35.31890410958904,51270569884.0
2000,Bangladesh,0.439066548,62345.751113710015,2.24,127657854,1.727868852459016,53369787319.0
